name,url,level,school,casting_time,range,components,concentration,ritual,description,source
Animate Dead,https://www.aidedd.org/dnd/sorts.php?vo=animate-dead,Level 3,necromancy,1 minute,10 ft,"V,S,M",No,No,"Create a skeleton from bones or a zombie from a corpse, who is under the caster control (+2 creatures/lvl).",Player´s Handbook (SRD)
Animate Objects,https://www.aidedd.org/dnd/sorts.php?vo=animate-objects,Level 5,transmutation,1 action,120 ft,"V,S",Yes,No,Animate up to 10 non-magic objects and control their actions up to 500 ft (+2 items/lvl).,Player´s Handbook (SRD)
Antilife Shell,https://www.aidedd.org/dnd/sorts.php?vo=antilife-shell,Level 5,abjuration,1 action,Self (10-ft radius),"V,S",Yes,No,Prevent creatures other than undead and constructs from entering in a 10-ft radius.,Player´s Handbook (SRD)
Antimagic Field,https://www.aidedd.org/dnd/sorts.php?vo=antimagic-field,Level 8,abjuration,1 action,Self (10-ft-radius sphere),"V,S,M",Yes,No,Create a 10-ft-radius sphere in which spells and magic items no longer work.,Player´s Handbook (SRD)
Antipathy/Sympathy,https://www.aidedd.org/dnd/sorts.php?vo=antipathy-sympathy,Level 8,enchantment,1 hour,60 ft,"V,S,M",No,No,Attract or repel (Wis. save in order to not be attracted or scared) a kind of creature designated within 60 ft.,Player´s Handbook (SRD)
Arcane Eye,https://www.aidedd.org/dnd/sorts.php?vo=arcane-eye,Level 4,divination,1 action,30 ft,"V,S,M",Yes,No,Create an invisible eye with darkvision that sends the caster the mental image of what it sees.,Player´s Handbook (SRD)
Arcane Gate,https://www.aidedd.org/dnd/sorts.php?vo=arcane-gate,Level 6,conjuration,1 action,500 ft,"V,S",Yes,No,Create 2 portals (max 500 ft between them) and allow teleport from one to the other.,Player´s Handbook
Arcane Lock,https://www.aidedd.org/dnd/sorts.php?vo=arcane-lock,Level 2,abjuration,1 action,Touch,"V,S,M",No,No,"Lock an objet (door, window, chest, etc) and the caster can set a password to suppresses the spell for 1 minute.",Player´s Handbook (SRD)
Armor of Agathys,https://www.aidedd.org/dnd/sorts.php?vo=armor-of-agathys,Level 1,abjuration,1 action,Self,"V,S,M",No,No,The caster gains 5 temporary hp and creatures who hits him with a melee attack take 5 cold damage (+5 hp and damage/lvl).,Player´s Handbook (BR+)
Arms of Hadar,https://www.aidedd.org/dnd/sorts.php?vo=arms-of-hadar,Level 1,conjuration,1 action,Self (10-ft radius),"V,S",No,No,Creatures in a 10-ft radius must succeed on a Str. save or take 2d6 necrotic damage (damage/lvl),Player´s Handbook
Astral Projection,https://www.aidedd.org/dnd/sorts.php?vo=astral-projection,Level 9,necromancy,1 hour,10 ft,"V,S,M",No,No,The caster and up to 8 creatures are projected into the Astral Plane.,Player´s Handbook (SRD)
Augury,https://www.aidedd.org/dnd/sorts.php?vo=augury,Level 2,divination,1 minute,Self,"V,S,M",No,Yes,"The caster obtains an omen about the result of an action within the next 30 min (weal, woe, both or nothing).",Player´s Handbook (SRD)
Aura of Life,https://www.aidedd.org/dnd/sorts.php?vo=aura-of-life,Level 4,abjuration,1 action,Self (30-ft radius),V,Yes,No,Creatures in a 30-ft radius gain resistance to necrotic damage and regain 1 hp when at 0 hp.,Player´s Handbook
Aura of Purity,https://www.aidedd.org/dnd/sorts.php?vo=aura-of-purity,Level 4,abjuration,1 action,Self (30-ft radius),V,Yes,No,"Creatures in a 30-ft radius can not become diseased, gain resistance to poison, and get advantage to various saving throws.",Player´s Handbook
Aura of Vitality,https://www.aidedd.org/dnd/sorts.php?vo=aura-of-vitality,Level 3,evocation,1 action,Self (30-ft radius),V,Yes,No,One target in a 30-ft radius regains 2d6 hp.,Player´s Handbook
Awaken,https://www.aidedd.org/dnd/sorts.php?vo=awaken,Level 5,transmutation,8 hours,Touch,"V,S,M",No,No,Give a beast or plant (Intelligence 3 or less) the ability to speek and senses similar to a human's for 30 days.,Player´s Handbook (SRD)
Bane,https://www.aidedd.org/dnd/sorts.php?vo=bane,Level 1,enchantment,1 action,30 ft,"V,S,M",Yes,No,Up to 3 targets must succeed on a Cha. save or subtract 1d4 from their attack roll or saving throw (+1 creature/lvl).,Player´s Handbook (SRD)
Banishing Smite,https://www.aidedd.org/dnd/sorts.php?vo=banishing-smite,Level 5,abjuration,1 bonus action,Self,V,Yes,No,"If a weapon attack hits, deals an extra 5d10 force damage. Target reduced to 50 hp or fewer this way are banished.",Player´s Handbook
Banishment,https://www.aidedd.org/dnd/sorts.php?vo=banishment,Level 4,abjuration,1 action,60 ft,"V,S,M",Yes,No,The target must succeed on a Cha. save or be banished to a harmless demiplane (+1 creature/lvl).,Player´s Handbook (SRD)
Barkskin,https://www.aidedd.org/dnd/sorts.php?vo=barkskin,Level 2,transmutation,1 action,Touch,"V,S,M",Yes,No,The target's AC can't be less than 16.,Player´s Handbook (SRD)
Beacon of Hope,https://www.aidedd.org/dnd/sorts.php?vo=beacon-of-hope,Level 3,abjuration,1 action,30 ft,"V,S",Yes,No,"Targets gain advantage on Wis. saving throws and death saving throws, and regain the maximum number of hp from healing.",Player´s Handbook (SRD)
Beast Bond,https://www.aidedd.org/dnd/sorts.php?vo=beast-bond,Level 1,divination,1 action,Touch,"V,S,M",Yes,No,Create a telepathic link with one beast to communicate with it.,Xanathar´s Guide to Everything
Beast Sense,https://www.aidedd.org/dnd/sorts.php?vo=beast-sense,Level 2,divination,1 action,Touch,S,Yes,Yes,The caster can see/hear/feel through the senses of a willing beast.,Player´s Handbook (BR+)
Bestow Curse,https://www.aidedd.org/dnd/sorts.php?vo=bestow-curse,Level 3,necromancy,1 action,Touch,"V,S",Yes,No,The target must succeed on a Wis. save or suffer an effect as a disadvantage to a check or lose an action (duration/lvl).,Player´s Handbook (SRD)
Bigby's Hand,https://www.aidedd.org/dnd/sorts.php?vo=bigby-s-hand,Level 5,evocation,1 action,120 ft,"V,S,M",Yes,No,"Create a Large hand with a Strength of 26 that can strike (4d8 force damage), push, grapple, or protect (damage/lvl).",Player´s Handbook (SRD)
Blade Barrier,https://www.aidedd.org/dnd/sorts.php?vo=blade-barrier,Level 6,evocation,1 action,90 ft,"V,S",Yes,No,Create a 100 x 20 x 5 ft wall that provides three-quarters cover and can inflict 6d10 slashing damage if passed through.,Player´s Handbook (SRD)
Blade of Disaster,https://www.aidedd.org/dnd/sorts.php?vo=blade-of-disaster,Level 9,conjuration,1 bonus action,60 ft,"V,S",Yes,No,Make two melee spell attacks and deals 4d12 force damage. Critical hit (18-20) deals 12d12. +2 attacks as bonus action.,Tasha´s Cauldron of Everything
Blade Ward,https://www.aidedd.org/dnd/sorts.php?vo=blade-ward,Cantrip,abjuration,1 action,Self,"V,S",No,No,"The caster gets resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.",Player´s Handbook (BR+)
Bless,https://www.aidedd.org/dnd/sorts.php?vo=bless,Level 1,enchantment,1 action,30 ft,"V,S,M",Yes,No,Up to 3 targets can add 1d4 to their attack roll or saving throw (+1 creature/lvl).,Player´s Handbook (SRD)
Blight,https://www.aidedd.org/dnd/sorts.php?vo=blight,Level 4,necromancy,1 action,30 ft,"V,S",No,No,The target must succeed on a Con. save or take 8d8 necrotic damage (damage/lvl).,Player´s Handbook (SRD)
Blinding Smite,https://www.aidedd.org/dnd/sorts.php?vo=blinding-smite,Level 3,evocation,1 bonus action,Self,V,Yes,No,"If the attack hits, deals an extra 3d8 radiant damage and the target must succeed on a Con. save or be blinded.",Player´s Handbook
Blindness/Deafness,https://www.aidedd.org/dnd/sorts.php?vo=blindness-deafness,Level 2,necromancy,1 action,30 ft,V,No,No,The target must succeed on a Con. save or become blinded or deafened (+1 creature/lvl).,Player´s Handbook (SRD)
Blink,https://www.aidedd.org/dnd/sorts.php?vo=blink,Level 3,transmutation,1 action,Self,"V,S",No,No,"The caster has 50% of chance to switch to the Ethereal Plane, then returns to the space he vanished from on the next turn.",Player´s Handbook (SRD)
Blur,https://www.aidedd.org/dnd/sorts.php?vo=blur,Level 2,illusion,1 action,Self,V,Yes,No,The caster's body becomes blurred and creatures that attack him have disadvantage on attack rolls against him.,Player´s Handbook (SRD)
Bones of the Earth,https://www.aidedd.org/dnd/sorts.php?vo=bones-of-the-earth,Level 6,transmutation,1 action,120 ft,"V,S",No,No,Create up to 6 vertical 5 x 30 ft pillars of stone (+2 pillars/lvl). Possibility of crushing creatures to the ceiling.,Xanathar´s Guide to Everything
Booming Blade,https://www.aidedd.org/dnd/sorts.php?vo=booming-blade,Cantrip,evocation,1 action,Self (5-ft radius),"V,M",No,No,"If a weapon attack hits, deals 1d8 thunder damage if the target moves (damage/lvl).",Tasha´s Cauldron of Everything
Branding Smite,https://www.aidedd.org/dnd/sorts.php?vo=branding-smite,Level 2,evocation,1 bonus action,Self,V,Yes,No,"If a weapon attack hits, deals an extra 2d6 radiant damage and the target sheds dim light in 5-ft radius (damage/lvl).",Player´s Handbook (SRD)
Burning Hands,https://www.aidedd.org/dnd/sorts.php?vo=burning-hands,Level 1,evocation,1 action,Self (15-ft cone),"V,S",No,No,Creatures in a 15-ft cone must succeed on a Dex. save or take 3d6 fire damage (damage/lvl).,Player´s Handbook (SRD)
Call Lightning,https://www.aidedd.org/dnd/sorts.php?vo=call-lightning,Level 3,conjuration,1 action,120 ft,"V,S",Yes,No,Creatures in a 5-ft radius must succeed on a Dex. save or take 3d10 lightning damage (damage/lvl) on each turn.,Player´s Handbook (SRD)
Calm Emotions,https://www.aidedd.org/dnd/sorts.php?vo=calm-emotions,Level 2,enchantment,1 action,60 ft,"V,S",Yes,No,"Creatures in a 20-foot-radius sphere must succeed on a Cha. save or no longer be charmed/frightened, or be indifferents.",Player´s Handbook (SRD)
Catapult,https://www.aidedd.org/dnd/sorts.php?vo=catapult,Level 1,transmutation,1 action,60 ft,S,No,No,The target must succeed on Dex. save or take 3d8 bludgeoning damage of an object up to 5 pounds (+5 pounds and +1d8/lvl).,Xanathar´s Guide to Everything
Catnap,https://www.aidedd.org/dnd/sorts.php?vo=catnap,Level 3,enchantment,1 action,30 ft,"S,M",No,No,3 willing creatures fall unconscious and gain the benefice of a short rest (+1 creature/lvl).,Xanathar´s Guide to Everything
Cause Fear,https://www.aidedd.org/dnd/sorts.php?vo=cause-fear,Level 1,necromancy,1 action,60 ft,V,Yes,No,The target must succeed on a Wis. save or becomes frightened (nbr of targets/lvl).,Xanathar´s Guide to Everything
Ceremony,https://www.aidedd.org/dnd/sorts.php?vo=ceremony,Level 1,abjuration,1 hour,Touch,"V,S,M",No,Yes,"Perform a religious ceremony (bless water, give bonus to AC, ability check, saving throw, etc).",Xanathar´s Guide to Everything
Chain Lightning,https://www.aidedd.org/dnd/sorts.php?vo=chain-lightning,Level 6,evocation,1 action,150 ft,"V,S,M",No,No,Up to 4 different targets must succeed on a Dex. save or take 10d8 lightning damage (+1 target/lvl).,Player´s Handbook (SRD)
Chaos Bolt,https://www.aidedd.org/dnd/sorts.php?vo=chaos-bolt,Level 1,evocation,1 action,120 ft,"V,S",No,No,"If the attack hits, deals 2d8 + 1d6 damage of a random type (damage/lvl). Rebound if double 8.",Xanathar´s Guide to Everything
Charm Monster,https://www.aidedd.org/dnd/sorts.php?vo=charm-monster,Level 4,enchantment,1 action,30 ft,"V,S",No,No,The target must succeed on a Wis. save or be charmed by the caster (duration/lvl).,Xanathar´s Guide to Everything
Charm Person,https://www.aidedd.org/dnd/sorts.php?vo=charm-person,Level 1,enchantment,1 action,30 ft,"V,S",No,No,The humanoid target must succeed on a Wis. save or be charmed by the caster (+1 creature/lvl).,Player´s Handbook (SRD)
Chill Touch,https://www.aidedd.org/dnd/sorts.php?vo=chill-touch,Cantrip,necromancy,1 action,120 ft,"V,S",No,No,"If the spell attack hits, deals 1d8 necrotic damage (damage/lvl) and the target can't regain hp immediately.",Player´s Handbook (SRD)
Chromatic Orb,https://www.aidedd.org/dnd/sorts.php?vo=chromatic-orb,Level 1,evocation,1 action,90 ft,"V,S,M",No,No,"If the spell attack hits, deals 3d8 damage of a previously determined type (damage/lvl)",Player´s Handbook (BR+)
Circle of Death,https://www.aidedd.org/dnd/sorts.php?vo=circle-of-death,Level 6,necromancy,1 action,150 ft,"V,S,M",No,No,Creatures in a 60-ft-radius sphere must succeed on a Con. save or take 8d6 necrotic damage (damage/lvl).,Player´s Handbook (SRD)
Circle of Power,https://www.aidedd.org/dnd/sorts.php?vo=circle-of-power,Level 5,abjuration,1 action,Self (30-ft radius),V,Yes,No,Friendly creatures in a 30-ft radius have advantage on saving throws against spells and other magicial effects.,Player´s Handbook
Clairvoyance,https://www.aidedd.org/dnd/sorts.php?vo=clairvoyance,Level 3,divination,10 minutes,1 mile,"V,S,M",Yes,No,"Create an invisible sensor in a familiar location within 1 mile, allowing to see or to hear (to choose, can switch).",Player´s Handbook (SRD)
Clone,https://www.aidedd.org/dnd/sorts.php?vo=clone,Level 8,necromancy,1 hour,Touch,"V,S,M",No,No,"Create in 120 days the inert double of a living creature. If the original creature dies, its soul is transferred to the clone.",Player´s Handbook (SRD)
Cloud of Daggers,https://www.aidedd.org/dnd/sorts.php?vo=cloud-of-daggers,Level 2,conjuration,1 action,60 ft,"V,S,M",Yes,No,Creatures in a 5-ft cube take automatically 4d4 slashing damage (damage/lvl).,Player´s Handbook (BR+)
Cloudkill,https://www.aidedd.org/dnd/sorts.php?vo=cloudkill,Level 5,conjuration,1 action,120 ft,"V,S",Yes,No,Creatures in a 20-ft-radius sphere must succeed on a Con. save or take 5d8 poison damage (damage/lvl).,Player´s Handbook (SRD)
Color Spray,https://www.aidedd.org/dnd/sorts.php?vo=color-spray,Level 1,illusion,1 action,Self (15-ft cone),"V,S,M",No,No,6d10 creatures hp are dazzled in ascending order of their current hp (+2d10 hp/lvl).,Player´s Handbook (SRD)
Command,https://www.aidedd.org/dnd/sorts.php?vo=command,Level 1,enchantment,1 action,60 ft,V,No,No,"The target must succeed on a Wis. save or follow your order as Approach, Drop, Flee, Fall, Halt, etc (+1 creature/lvl).",Player´s Handbook (SRD)
Commune,https://www.aidedd.org/dnd/sorts.php?vo=commune,Level 5,divination,1 minute,Self,"V,S,M",No,Yes,Allow to obtain from a divine entity the answers (yes or no) to 3 questions.,Player´s Handbook (SRD)
Commune with Nature,https://www.aidedd.org/dnd/sorts.php?vo=commune-with-nature,Level 5,divination,1 minute,Self,"V,S",No,Yes,The caster gets 3 informations about the surrounding territory. Doesn't function in dungeons or towns.,Player´s Handbook (SRD)
Compelled Duel,https://www.aidedd.org/dnd/sorts.php?vo=compelled-duel,Level 1,enchantment,1 bonus action,30 ft,V,Yes,No,The target must succeed on a Wis. save or get a disadvantage on attack rolls against creatures other than the caster.,Player´s Handbook
Comprehend Languages,https://www.aidedd.org/dnd/sorts.php?vo=comprehend-languages,Level 1,divination,1 action,Self,"V,S,M",No,Yes,The caster understands any spoken and written (1 min/page) language. Doesn't decode secret messages.,Player´s Handbook (SRD)
Compulsion,https://www.aidedd.org/dnd/sorts.php?vo=compulsion,Level 4,enchantment,1 action,30 ft,"V,S",Yes,No,Targets within 30 ft must succeed on a Wis. save or move in a specified direction.,Player´s Handbook (SRD)
Cone of Cold,https://www.aidedd.org/dnd/sorts.php?vo=cone-of-cold,Level 5,evocation,1 action,Self (60-ft cone),"V,S,M",No,No,Creatures in a 60-ft cone must succeed on a Con. save or take 8d8 cold damage (damage/lvl).,Player´s Handbook (SRD)
Confusion,https://www.aidedd.org/dnd/sorts.php?vo=confusion,Level 4,enchantment,1 action,90 ft,"V,S,M",Yes,No,Creatures in a 10-ft-radius sphere must succeed on a Wis. save or can't take actions normally (+ 5-ft radius/lvl).,Player´s Handbook (SRD)
Conjure Animals,https://www.aidedd.org/dnd/sorts.php?vo=conjure-animals,Level 3,conjuration,1 action,60 ft,"V,S",Yes,No,"Summon from 1 CR 2 beast to 8 CR 1/4 beasts, friendly (nbr of creatures/lvl).",Player´s Handbook (SRD)
Conjure Barrage,https://www.aidedd.org/dnd/sorts.php?vo=conjure-barrage,Level 3,conjuration,1 action,Self (60-ft cone),"V,S,M",No,No,Creatures in a 60-ft cone must succeed on a Dex. save or take 3d8 damage from the weapon/ammunition used.,Player´s Handbook
Conjure Celestial,https://www.aidedd.org/dnd/sorts.php?vo=conjure-celestial,Level 7,conjuration,1 minute,90 ft,"V,S",Yes,No,"Summon 1 CR 4 celestial, friendly (CR +1/lvl).",Player´s Handbook (SRD)
Conjure Elemental,https://www.aidedd.org/dnd/sorts.php?vo=conjure-elemental,Level 5,conjuration,1 minute,90 ft,"V,S,M",Yes,No,"Summon 1 CR 5 elemental, friendly (CR +1/lvl).",Player´s Handbook (SRD)
Conjure Fey,https://www.aidedd.org/dnd/sorts.php?vo=conjure-fey,Level 6,conjuration,1 minute,90 ft,"V,S",Yes,No,"Summon 1 CR 6 fey, friendly (CR +1/lvl).",Player´s Handbook (SRD)
Conjure Minor Elementals,https://www.aidedd.org/dnd/sorts.php?vo=conjure-minor-elementals,Level 4,conjuration,1 minute,90 ft,"V,S",Yes,No,"Summon from 1 CR 2 elemental to 8 CR 1/4 elemental, friendly (nbr of creatures/lvl).",Player´s Handbook (SRD)
Conjure Volley,https://www.aidedd.org/dnd/sorts.php?vo=conjure-volley,Level 5,conjuration,1 action,150 ft,"V,S,M",No,No,"Creatures in a 40-ft-radius, 20-ft-high cylinder must succeed on a Dex. save or take 8d8 damage from the weapon/ammunition used.",Player´s Handbook
Conjure Woodland Beings,https://www.aidedd.org/dnd/sorts.php?vo=conjure-woodland-beings,Level 4,conjuration,1 action,60 ft,"V,S,M",Yes,No,"Summon from 1 CR 2 fey to 8 CR 1/4 fey, friendly (nbr of creatures/lvl).",Player´s Handbook (SRD)
Contact Other Plane,https://www.aidedd.org/dnd/sorts.php?vo=contact-other-plane,Level 5,divination,1 minute,Self,V,No,Yes,"Contact an extraplanar entity to ask it 5 questions if an Int. save is successful. Otherwise, 6d6 psychic damage.",Player´s Handbook (SRD)
Contagion,https://www.aidedd.org/dnd/sorts.php?vo=contagion,Level 5,necromancy,1 action,Touch,"V,S",No,No,"If the spell attack hits, the target is afflicted with a disease to choose from 6 proposed.",Player´s Handbook (SRD)
Contingency,https://www.aidedd.org/dnd/sorts.php?vo=contingency,Level 6,evocation,10 minutes,Self,"V,S,M",No,No,Condition the activation of a 5th level spell or lower that can target the caster.,Player´s Handbook (SRD)
Continual Flame,https://www.aidedd.org/dnd/sorts.php?vo=continual-flame,Level 2,evocation,1 action,Touch,"V,S,M",No,No,"Create a flame that produces a light equivalent in brightness to a torch, but does not emit any heat.",Player´s Handbook (SRD)
Control Flames,https://www.aidedd.org/dnd/sorts.php?vo=control-flames,Cantrip,transmutation,1 action,60 ft,S,No,No,"Control nonmagical fires to expand, extinguish, enlarge, shape simple forms, etc.",Xanathar´s Guide to Everything
Control Water,https://www.aidedd.org/dnd/sorts.php?vo=control-water,Level 4,transmutation,1 action,300 ft,"V,S,M",Yes,No,"Control the water in a 100-ft cube (cause a flood, part the water, redirect the flow, create a whirlpool).",Player´s Handbook (SRD)
Control Weather,https://www.aidedd.org/dnd/sorts.php?vo=control-weather,Level 8,transmutation,10 minutes,Self (5-mile radius),"V,S,M",Yes,No,"Modify gradually the climatic conditions outdoors (precipitation, temperature and wind force).",Player´s Handbook (SRD)
Control Winds,https://www.aidedd.org/dnd/sorts.php?vo=control-winds,Level 5,transmutation,1 action,300 ft,"V,S",Yes,No,"Controls air in a 100-ft cube and produce an effect (Gusts, Downdraft or Updraft).",Xanathar´s Guide to Everything
Cordon of Arrows,https://www.aidedd.org/dnd/sorts.php?vo=cordon-of-arrows,Level 2,transmutation,1 action,5 ft,"V,S,M",No,No,4 ammunition deal 1d6 piercing damage if the target doesn't succeed on a Dex. save (nbr of ammunition/lvl).,Player´s Handbook
Counterspell,https://www.aidedd.org/dnd/sorts.php?vo=counterspell,Level 3,abjuration,1 reaction,60 ft,S,No,No,"In reaction, fail a spell of 3rd level or lower. Ability check if the spell is 4th level or higher (threshold/lvl).",Player´s Handbook (SRD)
Create Bonfire,https://www.aidedd.org/dnd/sorts.php?vo=create-bonfire,Cantrip,conjuration,1 action,60 ft,"V,S",Yes,No,Creatures in a 5-ft cube must succeed on a Dex. save or take 1d8 fire damage (damage/lvl).,Xanathar´s Guide to Everything
Create Food and Water,https://www.aidedd.org/dnd/sorts.php?vo=create-food-and-water,Level 3,conjuration,1 action,30 ft,"V,S",No,No,"Create 45 pounds of food and 30 gallons of water, enough to sustain 15 humanoids for 24 hours.",Player´s Handbook (SRD)
Create Homunculus,https://www.aidedd.org/dnd/sorts.php?vo=create-homunculus,Level 6,transmutation,1 hour,Touch,"V,S,M",No,No,Create one homunculus and the caster can transfer his hit points to it up to his next long rest.,Xanathar´s Guide to Everything
Create or Destroy Water,https://www.aidedd.org/dnd/sorts.php?vo=create-or-destroy-water,Level 1,transmutation,1 action,30 ft,"V,S,M",No,No,Create or destroy up to 10 gallons of water (+10 gallons/lvl).,Player´s Handbook (SRD)
Create Undead,https://www.aidedd.org/dnd/sorts.php?vo=create-undead,Level 6,necromancy,1 minute,10 ft,"V,S,M",No,No,Up to 3 Medium or Small humanoids corpses become a ghoul who obey the caster for 24 h (nbr and type of creatures/lvl).,Player´s Handbook (SRD)
Creation,https://www.aidedd.org/dnd/sorts.php?vo=creation,Level 5,illusion,1 minute,30 ft,"V,S,M",No,No,Create a non-living object made of vegetable matter or mineral and no larger than a 5-ft cube (+5 ft/lvl).,Player´s Handbook (SRD)
Crown of Madness,https://www.aidedd.org/dnd/sorts.php?vo=crown-of-madness,Level 2,enchantment,1 action,120 ft,"V,S",Yes,No,The target must succeed on a Wis. save or be charmed. It then can attack a target designated by the caster.,Player´s Handbook
Crown of Stars,https://www.aidedd.org/dnd/sorts.php?vo=crown-of-stars,Level 7,evocation,1 action,Self,"V,S",No,No,"If the spell attack hits, 7 motes deal 4d12 radiant damage each (+1 mote/lvl).",Xanathar´s Guide to Everything
Crusader's Mantle,https://www.aidedd.org/dnd/sorts.php?vo=crusader-s-mantle,Level 3,evocation,1 action,Self,V,Yes,No,Friendly creatures in a 30-ft radius deal an extra 1d4 radiant damage when they hit with a weapon attack.,Player´s Handbook
Cure Wounds,https://www.aidedd.org/dnd/sorts.php?vo=cure-wounds,Level 1,evocation,1 action,Touch,"V,S",No,No,1 creature regains 1d8+Ability.Mod (+1d8 hp/lvl).,Player´s Handbook (SRD)
Dancing Lights,https://www.aidedd.org/dnd/sorts.php?vo=dancing-lights,Cantrip,evocation,1 action,120 ft,"V,S,M",Yes,No,Create up to 4 torch-sized lights that shed dim light in a 10-ft radius and can be moved later up to 60 ft.,Player´s Handbook (SRD)
Danse Macabre,https://www.aidedd.org/dnd/sorts.php?vo=danse-macabre,Level 5,necromancy,1 action,60 ft,"V,S",Yes,No,Up to 5 Small or Medium corpses become zombie or skeleton under the caster control  (+2 corpses/lvl).,Xanathar´s Guide to Everything
Darkness,https://www.aidedd.org/dnd/sorts.php?vo=darkness,Level 2,evocation,1 action,60 ft,"V,M",Yes,No,Fill a 15-ft-radius sphere of magical darkness.,Player´s Handbook (SRD)
Darkvision,https://www.aidedd.org/dnd/sorts.php?vo=darkvision,Level 2,transmutation,1 action,Touch,"V,S,M",No,No,The target can see in the dark within 60 feet.,Player´s Handbook (SRD)
Dawn,https://www.aidedd.org/dnd/sorts.php?vo=dawn,Level 5,evocation,1 action,60 ft,"V,S,M",Yes,No,"Creatures in a 30-ft-radius, 40-ft-high cylinder must succeed on a Con. save or take 4d10 radiant damage.",Xanathar´s Guide to Everything
Daylight,https://www.aidedd.org/dnd/sorts.php?vo=daylight,Level 3,evocation,1 action,60 ft,"V,S",No,No,Create a sphere that sheds bright light in a 60-ft radius and dim light in an additional 60-ft radius.,Player´s Handbook (SRD)
Death Ward,https://www.aidedd.org/dnd/sorts.php?vo=death-ward,Level 4,abjuration,1 action,Touch,"V,S",No,No,"When the target drops to 0 hp for the first time, it automatically returns to 1 hp.",Player´s Handbook (SRD)
Delayed Blast Fireball,https://www.aidedd.org/dnd/sorts.php?vo=delayed-blast-fireball,Level 7,evocation,1 action,150 ft,"V,S,M",Yes,No,Creatures in a 20-ft-radius sphere must succeed on a Dex. save or take 12d6 fire damage (damage/lvl).,Player´s Handbook (SRD)
Demiplane,https://www.aidedd.org/dnd/sorts.php?vo=demiplane,Level 8,conjuration,1 action,60 ft,S,No,No,Create a door that leads to a demiplane (30-ft cube). Creatures still in the demiplane at the end of the spell are trapped.,Player´s Handbook (SRD)
Destructive Wave,https://www.aidedd.org/dnd/sorts.php?vo=destructive-wave,Level 5,evocation,1 action,Self (30-ft radius),V,No,No,Targets in a 30-ft radius must succeed on a Con. save or take 5d6 thunder damage and 5d6 radiant or necrotic damage.,Player´s Handbook
Detect Evil and Good,https://www.aidedd.org/dnd/sorts.php?vo=detect-evil-and-good,Level 1,divination,1 action,Self,"V,S",Yes,No,"The caster senses and locates aberration, celestial, elemental, fey, fiend, or undead within 30 ft.",Player´s Handbook (SRD)
Detect Magic,https://www.aidedd.org/dnd/sorts.php?vo=detect-magic,Level 1,divination,1 action,Self,"V,S",Yes,Yes,The caster senses the presence of magic in a 30-ft radius and learns its school of magic.,Player´s Handbook (SRD)
